frame.number,frame.interface_name,frame.time_epoch,ip.id
1,s1-eth1,1643595142.823715626,0x0000485c
2,s1-eth1,1643595142.827259998,0x0000485d
3,s1-eth1,1643595142.830553149,0x0000485e
4,s1-eth1,1643595142.833961129,0x0000485f
5,s1-eth1,1643595142.837205175,0x00004860
6,s1-eth1,1643595142.840483138,0x00004861
7,s1-eth1,1643595142.843961614,0x00004862
8,s1-eth1,1643595142.847158702,0x00004863
9,s1-eth1,1643595142.850694970,0x00004864
10,s1-eth1,1643595142.853953798,0x00004865
11,s1-eth1,1643595142.857202843,0x00004866
12,s1-eth1,1643595142.860648178,0x00004867
13,s1-eth1,1643595142.863906935,0x00004868
14,s1-eth1,1643595142.867214775,0x00004869
15,s1-eth1,1643595142.870482516,0x0000486a
16,s1-eth1,1643595142.873968228,0x0000486b
17,s1-eth1,1643595142.877227256,0x0000486c
18,s1-eth1,1643595142.880633329,0x0000486d
19,s1-eth1,1643595142.883881357,0x0000486e
20,s1-eth1,1643595142.887351754,0x0000486f
21,s1-eth2,1643595142.828793771,0x0000485c
22,s1-eth2,1643595142.833740281,0x0000485d
23,s1-eth2,1643595142.836726319,0x0000485e
24,s1-eth2,1643595142.839340016,0x0000485f
25,s1-eth2,1643595142.844364700,0x00004860
26,s1-eth2,1643595142.846302347,0x00004861
27,s1-eth2,1643595142.848161331,0x00004862
28,s1-eth2,1643595142.849588424,0x00004863
29,s1-eth2,1643595142.852523633,0x00004864
30,s1-eth2,1643595142.855431017,0x00004865
31,s1-eth2,1643595142.858850012,0x00004866
32,s1-eth2,1643595142.862023895,0x00004867
33,s1-eth2,1643595142.865235990,0x00004868
34,s1-eth2,1643595142.869111434,0x00004869
35,s1-eth2,1643595142.871904617,0x0000486a
36,s1-eth2,1643595142.875295231,0x0000486b
37,s1-eth2,1643595142.878605193,0x0000486c
38,s1-eth2,1643595142.881946309,0x0000486d
39,s1-eth2,1643595142.889166143,0x0000486e
40,s1-eth2,1643595142.892952594,0x0000486f
41,s1-eth2,1643595142.895881570,0x00004870
42,s1-eth2,1643595142.897990216,0x00004871
43,s1-eth2,1643595142.899438386,0x00004872
44,s1-eth2,1643595142.902685480,0x00004873
45,s1-eth2,1643595142.905441033,0x00004874
46,s1-eth2,1643595142.908858790,0x00004875
47,s1-eth2,1643595142.912202257,0x00004876
48,s1-eth2,1643595142.915517507,0x00004877
49,s1-eth2,1643595142.918969536,0x00004878
50,s1-eth2,1643595142.922174734,0x00004879
51,s1-eth2,1643595142.925483138,0x0000487a
52,s1-eth1,1643595142.890665673,0x00004870
53,s1-eth1,1643595142.893946688,0x00004871
54,s1-eth1,1643595142.897205769,0x00004872
55,s1-eth1,1643595142.900597194,0x00004873
56,s1-eth1,1643595142.903904506,0x00004874
57,s1-eth1,1643595142.907340645,0x00004875
58,s1-eth1,1643595142.910657296,0x00004876
59,s1-eth1,1643595142.913906531,0x00004877
60,s1-eth1,1643595142.917281506,0x00004878
61,s1-eth1,1643595142.920626141,0x00004879
62,s1-eth1,1643595142.923965701,0x0000487a
63,s1-eth1,1643595142.927404670,0x0000487b
64,s1-eth1,1643595142.930616214,0x0000487c
65,s1-eth1,1643595142.933816047,0x0000487d
66,s1-eth1,1643595142.937283946,0x0000487e
67,s1-eth1,1643595142.940780267,0x0000487f
68,s1-eth1,1643595142.943912189,0x00004880
